assists,games,goals,understat_id,key_passes,npg,npxG,name,position,red_cards,shots,team,minutes,xA,xG,xGBuildup,xGChain,yellow_cards,xG90,xA90
0,1,0,6105,0,0,0.0,Gaëtan Bong,S,0,0,BHA,65,0.0,0.0,0.3,0.3,0,0.0,0.0
1,1,0,6249,1,0,0.44,Davinson Sánchez,D,0,3,TOT,90,0.51,0.44,0.43,0.43,0,0.44,0.51
0,1,0,6274,0,0,0.0,Andriy Yarmolenko,S,0,0,WHU,21,0.0,0.0,0.0,0.0,0,0.0,0.0
0,1,0,6301,0,0,0.0,Jonathan Hogg,M,0,0,HUD,90,0.0,0.0,0.0,0.0,0,0.0,0.0
0,1,0,6464,0,0,0.0,Adrien Silva,M,0,0,LEI,81,0.0,0.0,0.06,0.06,0,0.0,0.0
1,1,0,6477,1,0,0.04,Cenk Tosun,F,0,1,EVE,84,0.06,0.04,0.0,0.11,0,0.04,0.07
0,1,0,6531,1,0,0.0,Alexander Sørloth,S,0,0,CRY,5,0.07,0.0,0.0,0.0,0,0.0,1.24
0,1,0,6532,0,0,0.0,Martin Dubravka,GK,0,0,NEW,90,0.0,0.0,0.01,0.01,0,0.0,0.0
0,1,0,1383,0,0,0.0,Manolo Gabbiadini,S,0,0,SOU,17,0.0,0.0,0.0,0.0,0,0.0,0.0
0,1,0,922,0,0,0.0,Andreas Pereira,M,0,0,MUN,90,0.0,0.0,0.12,0.12,1,0.0,0.0
0,1,0,1299,0,0,0.2,Mario Lemina,M,0,4,SOU,90,0.0,0.2,0.15,0.25,0,0.2,0.0
0,1,0,1257,0,0,0.0,Alisson,GK,0,0,LIV,90,0.0,0.0,0.92,0.92,0,0.0,0.0
0,1,0,528,1,0,0.0,Angelo Ogbonna,D,0,0,WHU,90,0.1,0.0,0.0,0.1,0,0.0,0.1
0,1,0,530,0,0,0.0,James Tomkins,D,0,0,CRY,90,0.0,0.0,0.19,0.19,0,0.0,0.0
0,1,0,531,1,0,0.14,Michail Antonio,M,0,2,WHU,90,0.11,0.14,0.0,0.12,1,0.14,0.11
0,1,0,532,0,0,0.07,Cheikhou Kouyaté,S,0,1,CRY,1,0.0,0.07,0.0,0.07,0,6.2,0.0
0,1,0,533,0,0,0.0,Mark Noble,M,0,0,WHU,90,0.0,0.0,0.1,0.1,0,0.0,0.0
0,1,0,541,1,0,0.0,Victor Moses,S,0,0,CHE,8,0.1,0.0,0.0,0.1,0,0.0,1.16
0,1,0,546,0,0,0.0,David de Gea,GK,0,0,MUN,90,0.0,0.0,0.0,0.0,0,0.0,0.0
0,1,0,551,0,0,0.0,Morgan Schneiderlin,M,0,0,EVE,90,0.0,0.0,0.0,0.0,0,0.0,0.0
1,1,0,554,2,0,0.08,Juan Mata,F,0,1,MUN,90,0.16,0.08,0.18,0.26,0,0.08,0.16
0,1,0,556,0,0,0.0,Marcus Rashford,F,0,0,MUN,68,0.0,0.0,0.14,0.14,0,0.0,0.0
0,1,0,557,0,0,0.03,Matteo Darmian,D,0,1,MUN,90,0.0,0.03,0.06,0.09,0,0.03,0.0
2,1,0,568,5,0,0.06,José Holebas,D,0,1,WAT,90,0.43,0.06,0.05,0.14,1,0.06,0.43
0,1,0,572,0,0,0.1,Etienne Capoue,M,0,3,WAT,90,0.0,0.1,0.08,0.14,1,0.1,0.0
0,1,0,574,0,0,0.38,Troy Deeney,F,0,2,WAT,90,0.0,0.38,0.0,0.38,0,0.38,0.0
0,1,0,579,0,0,0.0,Nathan Aké,D,0,0,BOU,90,0.0,0.0,0.0,0.0,0,0.0,0.0
0,1,0,581,0,0,0.0,Craig Cathcart,D,0,0,WAT,90,0.0,0.0,0.0,0.0,0,0.0,0.0
0,1,0,585,0,0,0.04,Seamus Coleman,D,0,1,EVE,90,0.0,0.04,0.0,0.04,0,0.04,0.0
0,1,0,586,0,0,0.0,John Stones,D,0,0,MCI,90,0.0,0.0,0.03,0.03,0,0.0,0.0
0,1,0,587,0,0,0.0,Phil Jagielka,D,1,0,EVE,39,0.0,0.0,0.0,0.0,0,0.0,0.0
0,1,0,588,2,0,0.0,Leighton Baines,D,0,0,EVE,90,0.03,0.0,0.06,0.06,0,0.0,0.03
0,1,0,592,1,0,0.06,Ross Barkley,M,0,1,CHE,69,0.05,0.06,0.0,0.11,0,0.08,0.06
0,1,0,593,0,0,0.51,Aaron Lennon,M,0,1,BUR,90,0.0,0.51,0.0,0.51,0,0.51,0.0
0,1,0,594,0,0,0.42,Romelu Lukaku,S,0,1,MUN,22,0.0,0.42,0.0,0.42,0,1.72,0.0
0,1,0,599,0,0,0.0,Oumar Niasse,S,0,0,EVE,6,0.0,0.0,0.0,0.0,0,0.0,0.0
0,1,0,605,0,0,0.0,Jordan Henderson,S,0,0,LIV,19,0.0,0.0,0.03,0.03,0,0.0,0.0
0,1,0,606,2,0,0.09,Christian Benteke,F,0,2,CRY,85,0.37,0.09,0.45,0.84,0,0.09,0.39
0,1,0,609,0,0,0.0,Joe Hart,GK,0,0,BUR,90,0.0,0.0,0.0,0.0,0,0.0,0.0
0,1,0,614,1,0,0.0,Fernandinho,M,0,0,MCI,90,0.03,0.0,0.62,0.62,0,0.0,0.03
0,1,0,619,2,0,0.64,Sergio Agüero,F,0,3,MCI,83,0.15,0.64,0.0,0.79,0,0.7,0.16
0,1,0,513,0,0,0.0,Pape Souaré,S,0,0,CRY,1,0.0,0.0,0.0,0.0,0,0.0,0.0
0,1,0,509,0,0,0.0,Wayne Hennessey,GK,0,0,CRY,90,0.0,0.0,0.36,0.36,0,0.0,0.0
0,1,0,508,0,0,0.0,Calum Chambers,D,0,0,FUL,90,0.0,0.0,0.14,0.14,0,0.0,0.0
1,1,0,456,1,0,0.0,Simon Francis,S,0,0,BOU,21,0.31,0.0,0.0,0.0,0,0.0,1.33
0,1,0,47,0,0,0.04,Yoshinori Muto,S,0,1,NEW,7,0.0,0.04,0.0,0.04,0,0.51,0.0
0,1,0,111,1,0,0.07,Jannik Vestergaard,D,0,1,SOU,90,0.03,0.07,0.04,0.07,0,0.07,0.03
0,1,0,154,1,0,0.0,André Schürrle,F,0,0,FUL,63,0.1,0.0,0.1,0.1,0,0.0,0.14
0,1,0,191,0,0,0.0,Chicharito,S,0,0,WHU,26,0.0,0.0,0.0,0.0,0,0.0,0.0
0,1,0,204,0,0,0.0,Granit Xhaka,M,0,0,ARS,74,0.0,0.0,0.0,0.0,1,0.0,0.0
0,1,0,239,1,0,0.0,Pascal Groß,M,0,0,BHA,62,0.05,0.0,0.0,0.05,0,0.0,0.07
0,1,0,314,0,0,0.09,Ilkay Gündogan,M,0,2,MCI,90,0.0,0.09,0.21,0.3,0,0.09,0.0
0,1,0,317,2,0,0.16,Henrikh Mkhitaryan,M,0,2,ARS,90,0.12,0.16,0.12,0.41,0,0.16,0.12
0,1,0,318,1,0,0.02,Pierre-Emerick Aubameyang,F,0,1,ARS,90,0.05,0.02,0.08,0.15,0,0.02,0.05
0,1,0,337,1,0,0.03,Leroy Sané,S,0,1,MCI,1,0.01,0.03,0.03,0.05,0,2.96,1.32
0,1,0,371,1,0,0.0,Sokratis,D,0,0,ARS,90,0.03,0.0,0.04,0.04,1,0.0,0.03
0,1,0,447,1,0,0.01,Kevin De Bruyne,S,0,1,MCI,26,0.03,0.01,0.03,0.05,1,0.05,0.11
0,1,0,453,0,0,0.0,Son Heung-Min,S,0,0,TOT,8,0.0,0.0,0.0,0.0,0,0.0,0.0
0,1,0,458,0,0,0.0,Steve Cook,D,0,0,BOU,90,0.0,0.0,0.0,0.0,0,0.0,0.0
0,1,0,504,1,0,0.03,Aaron Ramsey,M,0,1,ARS,58,0.06,0.03,0.0,0.09,0,0.05,0.09
0,1,0,459,1,0,0.0,Charlie Daniels,D,0,0,BOU,90,0.05,0.0,0.08,0.13,1,0.0,0.05
0,1,0,460,0,0,0.05,Andrew Surman,M,0,1,BOU,90,0.0,0.05,0.0,0.05,0,0.05,0.0
1,1,0,461,2,0,0.03,Matt Ritchie,M,0,2,NEW,71,0.41,0.03,0.0,0.41,0,0.04,0.52
0,1,0,462,0,0,0.03,Dan Gosling,M,0,1,BOU,90,0.0,0.03,0.63,0.66,0,0.03,0.0
0,1,0,465,1,0,0.05,Joshua King,F,0,1,BOU,90,0.04,0.05,0.58,0.67,0,0.05,0.04
1,1,0,482,2,0,0.14,Roberto Firmino,F,0,1,LIV,71,0.78,0.14,0.64,0.92,0,0.17,0.99
0,1,0,485,0,0,0.0,Mamadou Sakho,D,0,0,CRY,90,0.0,0.0,0.16,0.16,0,0.0,0.0
1,1,0,489,3,0,0.07,James Milner,M,0,1,LIV,90,0.92,0.07,1.11,1.82,0,0.07,0.92
0,1,0,491,0,0,0.0,Petr Cech,GK,0,0,ARS,90,0.0,0.0,0.02,0.02,0,0.0,0.0
0,1,0,492,1,0,0.05,Héctor Bellerín,D,0,1,ARS,90,0.02,0.05,0.02,0.09,0,0.05,0.02
0,1,0,498,4,0,0.04,Alexis Sánchez,F,0,1,MUN,90,0.55,0.04,0.12,0.66,0,0.04,0.55
0,1,0,499,2,0,0.0,Mesut Özil,M,0,0,ARS,90,0.11,0.0,0.15,0.15,0,0.0,0.11
0,1,0,503,0,0,0.0,Theo Walcott,M,0,0,EVE,90,0.0,0.0,0.0,0.0,0,0.0,0.0
0,1,0,620,0,0,0.08,Kelechi Iheanacho,F,0,2,LEI,90,0.0,0.08,0.28,0.37,0,0.08,0.0
0,1,0,630,0,0,0.0,Marouane Fellaini,S,0,0,MUN,5,0.0,0.0,0.0,0.0,0,0.0,0.0
0,1,0,633,1,0,0.0,James McArthur,M,0,0,CRY,90,0.02,0.0,0.15,0.15,0,0.0,0.02
0,1,0,847,0,0,0.0,Cédric Soares,M,0,0,SOU,57,0.0,0.0,0.04,0.04,0,0.0,0.0
0,1,0,772,0,0,0.13,Moussa Sissoko,M,0,1,TOT,90,0.0,0.13,0.43,0.56,0,0.13,0.0
0,1,0,773,0,0,0.37,Aleksandar Mitrovic,F,0,7,FUL,90,0.0,0.37,0.0,0.28,0,0.37,0.0
0,1,0,775,1,0,0.05,Andros Townsend,M,0,2,CRY,90,0.07,0.05,0.31,0.41,0,0.05,0.07
0,1,0,782,3,0,0.0,Ben Chilwell,D,0,0,LEI,90,0.12,0.0,0.06,0.06,0,0.0,0.12
0,1,0,787,2,0,0.0,Ryan Bennett,D,0,0,WOL,90,0.3,0.0,0.34,0.64,0,0.0,0.3
