fpl_id,name,team,position,price,total_points,minutes,PP90,PP90PM,goals,assists,clean_sheets,bonus,bps,form,goals_conceded,yellow_cards,red_cards,saves,penalties_missed,penalties_saved,team_code
498,Kepa,CHE,GK,5.5,6,90,6.0,1.09,0,0,1,0,23,6.0,0,0,0,1,0,0,8
437,Jiménez,WOL,F,5.5,6,90,6.0,1.09,1,0,0,0,25,6.0,2,0,0,0,0,0,39
17,Xhaka,ARS,M,5.5,1,69,1.3,0.24,0,0,0,0,10,1.0,2,1,0,0,0,0,3
262,Stones,MCI,D,5.5,8,90,8.0,1.45,0,0,1,2,30,8.0,0,0,0,0,0,0,43
268,Laporte,MCI,D,5.5,6,90,6.0,1.09,0,0,1,0,21,6.0,0,0,0,0,0,0,43
84,Vokes,BUR,F,5.5,1,17,5.29,0.96,0,0,0,0,2,1.0,0,0,0,0,0,0,90
272,Fernandinho,MCI,M,5.5,3,90,3.0,0.55,0,0,1,0,12,3.0,0,0,0,0,0,0,43
78,Hendrick,BUR,M,5.5,3,75,3.6,0.65,0,0,1,0,1,3.0,0,0,0,0,0,0,90
274,Gündogan,MCI,M,5.5,3,90,3.0,0.55,0,0,1,0,9,3.0,0,0,0,0,0,0,43
99,Hoilett,CAR,M,5.5,2,90,2.0,0.36,0,0,0,0,6,2.0,2,0,0,0,0,0,97
132,Loftus-Cheek,CHE,M,5.5,1,22,4.09,0.74,0,0,0,0,5,1.0,0,0,0,0,0,0,8
489,Snodgrass,WHU,M,5.5,1,45,2.0,0.36,0,0,0,0,5,1.0,2,0,0,0,0,0,21
291,Bailly,MUN,D,5.5,2,90,2.0,0.36,0,0,0,0,13,2.0,1,0,0,0,0,0,1
55,Knockaert,BHA,M,5.5,2,90,2.0,0.36,0,0,0,0,4,2.0,2,0,0,0,0,0,36
475,Moutinho,WOL,M,5.5,2,84,2.14,0.39,0,0,0,0,15,2.0,2,0,0,0,0,0,39
260,Ederson,MCI,GK,5.5,8,90,8.0,1.45,0,0,1,1,27,8.0,0,0,0,3,0,0,43
40,Fraser,BOU,M,5.5,11,90,11.0,2.0,1,0,1,3,38,11.0,0,0,0,0,0,0,91
101,Paterson,CAR,M,5.5,2,62,2.9,0.53,0,0,0,0,10,2.0,1,0,0,0,0,0,97
468,Alisson,LIV,GK,5.5,7,90,7.0,1.27,0,0,1,1,31,7.0,0,0,0,2,0,0,14
12,Sokratis,ARS,D,5.5,0,90,0.0,0.0,0,0,0,0,13,0.0,2,1,0,0,0,0,3
249,Henderson,LIV,M,5.5,1,21,4.29,0.78,0,0,0,0,3,1.0,0,0,0,0,0,0,14
116,David Luiz,CHE,D,5.5,5,90,5.0,0.91,0,0,1,0,27,5.0,0,1,0,0,0,0,8
7,Mustafi,ARS,D,5.5,1,90,1.0,0.18,0,0,0,0,16,1.0,2,0,0,0,0,0,3
252,Wijnaldum,LIV,M,5.5,3,90,3.0,0.55,0,0,1,0,7,3.0,0,0,0,0,0,0,14
110,Reid,CAR,F,5.5,2,87,2.07,0.38,0,0,0,0,8,2.0,1,0,0,0,0,0,97
4,Bellerín,ARS,D,5.5,1,90,1.0,0.18,0,0,0,0,17,1.0,2,0,0,0,0,0,3
254,Milner,LIV,M,5.5,6,90,6.0,1.09,0,1,1,0,26,6.0,0,0,0,0,0,0,14
320,Atsu,NEW,M,5.5,1,21,4.29,0.78,0,0,0,0,4,1.0,0,0,0,0,0,0,4
286,Shaw,MUN,D,5.1,11,90,11.0,2.16,1,0,0,3,30,11.0,1,0,0,0,0,0,1
459,Jorginho,CHE,M,5.1,9,90,9.0,1.76,1,0,1,1,31,9.0,0,0,0,0,0,0,8
433,Neves,WOL,M,5.1,12,90,12.0,2.35,1,1,0,2,44,12.0,2,0,0,0,0,0,39
309,Dubravka,NEW,GK,5.0,2,90,2.0,0.4,0,0,0,0,15,2.0,2,0,0,3,0,0,4
